sid,fid,LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK,ADM_SECT_C,SGG_NM,SGG_OID,COL_ADM_SE,GID,distance,angle,rk,rk_count,mammal,wc_num,wc_dist,wc_type,wc_year,wc_road_n
6390,195936,2900045600,2900020900,2900020800,2,103,0,23,득안대로,0,0,0,80,0,0,0,263.4880185,,44230,논산시,,44230,47,0,176.7314642,0,47,1,1541,11.50684284,1,2017,4
6391,57258,2860021401,2860037700,2860009300,2,103,0,23,차령로,0,0,0,80,0,0,0,938.0894254,,44150,공주시,,44150,51,0,177.9722083,0,55,0,1375,9.50701404,2,2009,2
6392,195935,2900157200,2900070000,2900070100,2,103,0,4,대백제로,0,0,103,40,0,0,0,135.3353537,,44230,논산시,,44230,47,0,28.58551257,0,36,0,1108,14.24884478,1,2011,6
6393,195934,2900045500,2900020800,2900020900,2,103,0,23,득안대로,0,0,0,80,0,0,0,260.8150444,,44230,논산시,,44230,47,0,344.0815685,0,42,1,1541,11.52252083,1,2017,4
6394,57256,2860022500,2860010200,2860010500,2,103,3,32,금벽로,0,0,0,70,0,0,0,321.1939351,,44150,공주시,,44150,51,0,346.8446283,0,8,8,1541,8.197500512,1,2017,4
6395,57243,2860021301,2860009300,2860037700,2,103,0,23,차령로,0,0,0,80,0,0,0,937.906571,,44150,공주시,,44150,51,0,355.903402,0,39,0,1375,10.44166618,2,2009,2
6396,57568,2860033600,2860015400,2860015600,3,103,0,32,금벽로,0,0,0,50,0,0,0,206.4512117,,44150,공주시,,44150,51,0,306.7939732,0,0,0,1375,3.230289276,2,2009,2
6397,195943,2900152700,2900016300,2900067300,2,103,0,4,대백제로,0,0,0,80,0,0,0,645.3201806,,44230,논산시,,44230,47,0,289.4438823,0,32,0,1108,13.67268587,1,2011,6
6398,195942,2900152500,2900067300,2900016300,2,103,0,4,대백제로,0,0,0,80,0,0,0,645.3700151,,44230,논산시,,44230,47,0,110.4566874,0,40,0,1108,13.0314469,1,2011,6
6399,195941,2900047700,2900022100,2900022200,2,103,0,1,논산대로,0,0,0,50,0,0,0,423.0032594,,44230,논산시,,44230,47,0,55.27721056,0,3,2,1108,19.9402933,1,2011,6
6400,57564,2860023402,2860010501,2860010500,2,103,0,32,금벽로,0,0,0,70,0,0,0,593.9207734,,44150,공주시,,44150,51,0,177.8437845,0,22,0,1541,9.094612964,1,2017,4
6401,195940,2900045902,2900021301,2900021400,2,103,0,1,득안대로,0,0,0,70,0,0,0,1435.642421,,44230,논산시,,44230,47,0,30.52070708,0,13,0,1108,27.66773466,1,2011,6
6402,195940,2900045902,2900021301,2900021400,2,103,0,1,득안대로,0,0,0,70,0,0,0,1435.642421,,44230,논산시,,44230,47,1000,339.4394676,0,3,0,1108,27.10133795,1,2011,6
6403,57535,2860023401,2860011100,2860010501,2,103,0,32,금벽로,0,0,0,70,0,0,0,399.8047051,,44150,공주시,,44150,51,0,131.9931876,0,20,0,1541,9.474750335,1,2017,4
6404,57223,2860022300,2860010100,2860010200,2,103,0,32,금벽로,0,0,0,70,0,0,0,165.9670977,,44150,공주시,,44150,51,0,5.142345968,0,6,8,1541,8.041404031,1,2017,4
6405,195919,2900047600,2900022100,2900022000,2,103,0,1,논산대로,0,0,0,50,0,0,0,214.3157073,,44230,논산시,,44230,47,0,234.7046442,0,3,2,1108,19.92950301,1,2011,6
6406,195918,2900047500,2900022000,2900022100,2,103,0,1,논산대로,0,0,0,50,0,0,0,214.062117,,44230,논산시,,44230,47,0,54.5666923,0,4,0,1108,19.84970384,1,2011,6
6407,195917,2900047400,2900022000,2900021900,2,103,0,1,논산대로,0,0,0,50,0,0,0,221.9437495,,44230,논산시,,44230,47,0,233.6625181,0,4,0,1108,19.83875824,1,2011,6
6408,195916,2900047300,2900021900,2900022000,2,103,0,1,논산대로,0,0,0,50,0,0,0,221.4560691,,44230,논산시,,44230,47,0,56.34917216,0,5,0,1108,19.75695621,1,2011,6
6409,195915,2900047200,2900021900,2900021800,2,103,0,1,논산대로,0,0,0,50,0,0,0,170.9951502,,44230,논산시,,44230,47,0,236.3505497,0,5,0,1108,19.74573965,1,2011,6
6410,195914,2900046100,2900021400,2900000700,2,103,0,1,득안대로,0,0,0,60,0,0,0,913.9341709,,44230,논산시,,44230,47,0,8.034161081,0,2,0,1108,26.73906882,1,2011,6
6411,57206,2860018902,2860007501,2860008700,2,103,0,1,금벽로,0,1,0,70,0,0,0,772.970336,,44150,공주시,,44150,51,0,343.874557,0,9,2,1541,3.867558686,1,2017,4
6412,57234,2860020602,2860028700,2860028800,2,103,0,1,금벽로,0,1,0,50,0,0,0,713.5713042,,44150,공주시,,44150,51,0,326.8861575,0,12,13,1541,5.300618338,1,2017,4
6413,57232,2860020504,2860029000,2860028900,2,103,0,32,금벽로,0,0,0,70,0,0,0,568.0730837,,44150,공주시,,44150,51,0,95.70040184,0,23,3,1541,6.265616109,1,2017,4
6414,267731,3000001014,3000045800,3000000802,1,103,0,40,예덕로,0,0,0,60,0,0,0,60.19135492,,44270,당진시,,44270,45,0,236.8948809,0,4,2,1377,12.62439243,1,2009,2
6415,267730,3000001003,3000000802,3000000803,1,103,3,40,예덕로,0,0,0,60,0,0,0,53.41838117,,44270,당진시,,44270,45,0,232.9263268,0,4,2,1377,12.59036547,1,2009,2
6416,57225,2860020603,2860028800,2860028900,2,103,0,32,금벽로,0,0,0,70,0,0,0,645.1990979,,44150,공주시,,44150,51,0,307.2475608,0,13,4,1541,5.814629279,1,2017,4
6417,267729,3000001002,3000000803,3000000804,1,103,0,40,예덕로,0,0,0,60,0,0,0,1451.002453,,44270,당진시,,44270,45,0,227.6175906,0,4,2,1377,12.56168754,1,2009,2
6418,267729,3000001002,3000000803,3000000804,1,103,0,40,예덕로,0,0,0,60,0,0,0,1451.002453,,44270,당진시,,44270,45,1000,236.4381606,0,3,0,1377,12.22395691,1,2009,2
6419,195970,2900189700,2900071400,2900071200,1,101,0,251,호남고속도로지선,0,0,101,30,5,0,0,230.3939514,,44230,논산시,,44230,47,0,344.2372661,0,5,0,1541,20.85236452,1,2017,4
6420,195969,2900189600,2900071200,2900071400,1,101,0,251,호남고속도로지선,0,0,101,30,5,0,0,227.6742352,,44230,논산시,,44230,47,0,148.1060392,0,5,0,1541,20.68409995,1,2017,4
6421,195968,2900189500,2900071100,2900071400,1,101,0,251,호남고속도로지선,0,0,101,30,5,0,0,272.1720333,,44230,논산시,,44230,47,0,70.76821527,0,5,0,1541,21.04815573,1,2017,4
6422,195966,2900189400,2900071400,2900071100,1,101,0,251,호남고속도로지선,0,0,101,30,5,0,0,253.4635468,,44230,논산시,,44230,47,0,162.4061555,0,5,0,1541,20.85744623,1,2017,4
6423,57604,2860027600,2860012400,2960006800,2,103,0,36,칠갑산로,0,0,0,80,0,0,0,97.79238794,,44150,공주시,,44150,51,0,211.1422996,0,22,0,1258,1.044428745,2,2008,4
6424,57604,2860027600,2860012400,2960006800,2,103,0,36,칠갑산로,0,0,0,80,0,0,0,97.79238794,,44790,청양군,,44790,41,0,202.6329376,0,25,0,1258,0.964721121,2,2008,4
6425,57643,2860033300,2860015400,2860015300,3,103,0,32,금벽로,0,0,0,50,0,0,0,136.8857129,,44150,공주시,,44150,51,0,126.7091218,0,0,0,1375,3.241790485,2,2009,2
6426,57642,2860033200,2860015200,2860015300,3,103,0,32,금벽로,0,0,0,50,0,0,0,274.5682029,,44150,공주시,,44150,51,0,305.4661535,0,0,0,1375,3.358954486,2,2009,2
6427,57636,2860034502,2860014601,2860014602,2,103,0,23,차령로,0,0,0,80,0,0,0,317.0962233,,44150,공주시,,44150,51,0,353.3831781,0,2,0,1375,3.749701995,2,2009,2
6428,57632,2860024800,2860011300,2860011200,1,101,0,25,논산천안고속도로,0,0,101,50,5,0,0,666.6785088,,44150,공주시,,44150,51,0,183.8108665,0,0,0,1258,6.030608097,2,2008,4
6429,57626,2860033100,2860015300,2860015200,3,103,0,32,금벽로,0,0,0,50,0,0,0,275.2417236,,44150,공주시,,44150,51,0,124.5994983,0,0,0,1375,3.279555759,2,2009,2
6430,57625,2860032700,2860015200,2860015000,3,103,0,32,금벽로,0,0,0,50,0,0,0,417.6362319,,44150,공주시,,44150,51,0,123.3769487,0,0,0,1375,3.370151122,2,2009,2
6431,195956,2900157100,2900069900,2900070100,1,103,0,4,대백제로,0,0,103,40,0,0,0,266.4944699,,44230,논산시,,44230,47,0,135.4288704,0,35,0,1108,14.0866471,1,2011,6
6432,195955,2900157000,2900070100,2900070000,2,103,0,4,대백제로,0,0,103,40,0,0,0,134.5704686,,44230,논산시,,44230,47,0,204.9365571,0,35,0,1108,14.24344641,1,2011,6
6433,195951,2900189300,2900071000,2900071400,1,101,0,251,호남고속도로지선,0,0,101,30,5,0,0,242.5574743,,44230,논산시,,44230,47,0,80.04063958,0,5,0,1541,20.96627919,1,2017,4
6434,195950,2900154700,2900068500,2900016300,1,103,0,4,대백제로,0,0,103,50,0,0,0,138.4269333,,44230,논산시,,44230,47,0,60.2036431,0,33,0,1108,13.54168275,1,2011,6
6435,195949,2900154400,2900016300,2900068400,1,103,0,4,대백제로,0,0,103,50,0,0,0,196.0069815,,44230,논산시,,44230,47,0,297.0290132,0,32,0,1108,13.67234195,1,2011,6
6436,195964,2900189200,2900071400,2900071000,1,101,0,251,호남고속도로지선,0,0,101,30,5,0,0,236.7790293,,44230,논산시,,44230,47,0,237.4577983,0,5,0,1541,20.85028469,1,2017,4
6437,195963,2900189100,2900071100,2900071300,1,101,0,251,호남고속도로지선,0,0,101,30,5,0,0,192.1378346,,44230,논산시,,44230,47,0,245.0934147,0,5,0,1541,21.03724039,1,2017,4
6438,57602,2860023302,2860010501,2860011100,2,103,0,32,금벽로,0,0,0,70,0,0,0,409.4214352,,44150,공주시,,44150,51,0,357.8456414,0,22,0,1541,9.091039859,1,2017,4
6439,195962,2900189000,2900071300,2900071000,1,101,0,251,호남고속도로지선,0,0,101,30,5,0,0,286.7892269,,44230,논산시,,44230,47,0,265.866172,0,5,0,1541,20.96115635,1,2017,4
6440,57599,2860034602,2860014602,2860014601,2,103,0,23,차령로,0,0,0,80,0,0,0,321.5223861,,44150,공주시,,44150,51,0,187.449852,0,2,0,1375,3.4342584,2,2009,2
6441,195961,2900188900,2900070900,2900071100,1,101,0,251,호남고속도로지선,0,0,101,30,5,0,0,296.471959,,44230,논산시,,44230,47,0,114.3499114,0,5,0,1541,21.07072127,1,2017,4
6442,195960,2900188800,2900071000,2900070900,1,101,0,251,호남고속도로지선,0,0,101,30,5,0,0,238.1231075,,44230,논산시,,44230,47,0,261.1291742,0,5,0,1541,20.95434786,1,2017,4
6443,57597,2860032205,2860013901,2860013900,2,103,0,36,공수원로,0,0,0,70,0,0,0,963.7464121,,44150,공주시,,44150,51,0,219.8522795,0,12,0,1258,3.149335214,2,2008,4
6444,57593,2860023301,2860010500,2860010501,2,103,0,32,금벽로,0,0,0,70,0,0,0,588.5726711,,44150,공주시,,44150,51,0,332.3257724,0,12,0,1541,8.516647418,1,2017,4
6445,195957,2900157600,2900070100,2900069900,1,103,0,4,대백제로,0,0,103,40,0,0,0,621.5602963,,44230,논산시,,44230,47,0,23.5789757,0,36,0,1108,14.25544599,1,2011,6
6446,57591,2860034501,2860014600,2860014601,2,103,0,23,차령로,0,0,0,80,0,0,0,490.2963505,,44150,공주시,,44150,51,0,9.057759927,0,1,0,1375,4.230316666,2,2009,2
6447,57704,2860025436,2860347100,2860036100,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6647.400099,,44150,공주시,,44150,51,0,176.1418457,0,65,0,1375,7.839850894,2,2009,2
6448,57704,2860025436,2860347100,2860036100,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6647.400099,,44150,공주시,,44150,51,1000,160.7492969,0,53,0,1375,6.848513389,2,2009,2
6449,57704,2860025436,2860347100,2860036100,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6647.400099,,44150,공주시,,44150,51,2000,198.5988495,0,47,0,1375,5.991929303,2,2009,2
6450,57704,2860025436,2860347100,2860036100,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6647.400099,,44150,공주시,,44150,51,3000,188.5479821,0,10,0,1375,5.325476534,2,2009,2
